"","age","alcohol","tobacco","cancer","patients","heavy"
"89","45-64",">=80","0-19","No",0,">= 80 gm"
"90","45-64",">=80","0-19","Yes",4,">= 80 gm"
"91","45-64",">=80","0-19","No",1,">= 80 gm"
"92","45-64",">=80","0-19","Yes",3,">= 80 gm"
"93","45-64",">=80",">=20","No",1,">= 80 gm"
"94","45-64",">=80",">=20","Yes",2,">= 80 gm"
"95","45-64",">=80",">=20","No",0,">= 80 gm"
"96","45-64",">=80",">=20","Yes",4,">= 80 gm"
"97","45-64","0-79","0-19","No",47,"< 80 gm"
"98","45-64","0-79","0-19","Yes",2,"< 80 gm"
"99","45-64","0-79","0-19","No",19,"< 80 gm"
"100","45-64","0-79","0-19","Yes",3,"< 80 gm"
"101","45-64","0-79",">=20","No",9,"< 80 gm"
"102","45-64","0-79",">=20","Yes",3,"< 80 gm"
"103","45-64","0-79",">=20","No",2,"< 80 gm"
"104","45-64","0-79",">=20","Yes",4,"< 80 gm"
"105","45-64","0-79","0-19","No",31,"< 80 gm"
"106","45-64","0-79","0-19","Yes",9,"< 80 gm"
"107","45-64","0-79","0-19","No",15,"< 80 gm"
"108","45-64","0-79","0-19","Yes",6,"< 80 gm"
"109","45-64","0-79",">=20","No",13,"< 80 gm"
"110","45-64","0-79",">=20","Yes",4,"< 80 gm"
"111","45-64","0-79",">=20","No",3,"< 80 gm"
"112","45-64","0-79",">=20","Yes",3,"< 80 gm"
"113","45-64",">=80","0-19","No",9,">= 80 gm"
"114","45-64",">=80","0-19","Yes",9,">= 80 gm"
"115","45-64",">=80","0-19","No",7,">= 80 gm"
"116","45-64",">=80","0-19","Yes",8,">= 80 gm"
"117","45-64",">=80",">=20","No",3,">= 80 gm"
"118","45-64",">=80",">=20","Yes",3,">= 80 gm"
"119","45-64",">=80",">=20","No",0,">= 80 gm"
"120","45-64",">=80",">=20","Yes",4,">= 80 gm"
"121","45-64",">=80","0-19","No",5,">= 80 gm"
"122","45-64",">=80","0-19","Yes",5,">= 80 gm"
"123","45-64",">=80","0-19","No",1,">= 80 gm"
"124","45-64",">=80","0-19","Yes",6,">= 80 gm"
"125","45-64",">=80",">=20","No",1,">= 80 gm"
"126","45-64",">=80",">=20","Yes",2,">= 80 gm"
"127","45-64",">=80",">=20","No",1,">= 80 gm"
"128","45-64",">=80",">=20","Yes",5,">= 80 gm"
"129",">=65","0-79","0-19","No",43,"< 80 gm"
"130",">=65","0-79","0-19","Yes",5,"< 80 gm"
"131",">=65","0-79","0-19","No",10,"< 80 gm"
"132",">=65","0-79","0-19","Yes",4,"< 80 gm"
"133",">=65","0-79",">=20","No",5,"< 80 gm"
"134",">=65","0-79",">=20","Yes",2,"< 80 gm"
"135",">=65","0-79",">=20","No",2,"< 80 gm"
"136",">=65","0-79",">=20","Yes",0,"< 80 gm"
"137",">=65","0-79","0-19","No",17,"< 80 gm"
"138",">=65","0-79","0-19","Yes",17,"< 80 gm"
"139",">=65","0-79","0-19","No",7,"< 80 gm"
"140",">=65","0-79","0-19","Yes",3,"< 80 gm"
"141",">=65","0-79",">=20","No",4,"< 80 gm"
"142",">=65","0-79",">=20","Yes",5,"< 80 gm"
"143",">=65","0-79",">=20","No",0,"< 80 gm"
"144",">=65","0-79",">=20","Yes",0,"< 80 gm"
"145",">=65",">=80","0-19","No",7,">= 80 gm"
"146",">=65",">=80","0-19","Yes",6,">= 80 gm"
"147",">=65",">=80","0-19","No",8,">= 80 gm"
"148",">=65",">=80","0-19","Yes",4,">= 80 gm"
"149",">=65",">=80",">=20","No",1,">= 80 gm"
"150",">=65",">=80",">=20","Yes",2,">= 80 gm"
"151",">=65",">=80",">=20","No",0,">= 80 gm"
"152",">=65",">=80",">=20","Yes",1,">= 80 gm"
"153",">=65",">=80","0-19","No",1,">= 80 gm"
"154",">=65",">=80","0-19","Yes",3,">= 80 gm"
"155",">=65",">=80","0-19","No",1,">= 80 gm"
"156",">=65",">=80","0-19","Yes",1,">= 80 gm"
"157",">=65",">=80",">=20","No",0,">= 80 gm"
"158",">=65",">=80",">=20","Yes",1,">= 80 gm"
"159",">=65",">=80",">=20","No",0,">= 80 gm"
"160",">=65",">=80",">=20","Yes",1,">= 80 gm"
"161",">=65","0-79","0-19","No",17,"< 80 gm"
"162",">=65","0-79","0-19","Yes",1,"< 80 gm"
"163",">=65","0-79","0-19","No",4,"< 80 gm"
"164",">=65","0-79","0-19","Yes",2,"< 80 gm"
"165",">=65","0-79",">=20","No",0,"< 80 gm"
"166",">=65","0-79",">=20","Yes",0,"< 80 gm"
"167",">=65","0-79",">=20","No",2,"< 80 gm"
"168",">=65","0-79",">=20","Yes",1,"< 80 gm"
"169",">=65","0-79","0-19","No",3,"< 80 gm"
"170",">=65","0-79","0-19","Yes",2,"< 80 gm"
"171",">=65","0-79","0-19","No",2,"< 80 gm"
"172",">=65","0-79","0-19","Yes",1,"< 80 gm"
"173",">=65","0-79",">=20","No",3,"< 80 gm"
"174",">=65","0-79",">=20","Yes",0,"< 80 gm"
"175",">=65","0-79",">=20","No",0,"< 80 gm"
"176",">=65","0-79",">=20","Yes",1,"< 80 gm"
"177",">=65",">=80","0-19","No",0,">= 80 gm"
"178",">=65",">=80","0-19","Yes",1,">= 80 gm"
"179",">=65",">=80","0-19","No",0,">= 80 gm"
"180",">=65",">=80","0-19","Yes",1,">= 80 gm"
"181",">=65",">=80",">=20","No",0,">= 80 gm"
"182",">=65",">=80",">=20","Yes",0,">= 80 gm"
"183",">=65",">=80",">=20","No",0,">= 80 gm"
"184",">=65",">=80",">=20","Yes",0,">= 80 gm"
"185",">=65",">=80","0-19","No",0,">= 80 gm"
"186",">=65",">=80","0-19","Yes",2,">= 80 gm"
"187",">=65",">=80","0-19","No",0,">= 80 gm"
"188",">=65",">=80","0-19","Yes",1,">= 80 gm"
"189",">=65",">=80",">=20","No",0,">= 80 gm"
"190",">=65",">=80",">=20","Yes",0,">= 80 gm"
"191",">=65",">=80",">=20","No",0,">= 80 gm"
"192",">=65",">=80",">=20","Yes",0,">= 80 gm"
